Course ID,Course Name,,,,,,,Ratings,Users Reviewed,Hours,Lectures,Tags
11,Node JS: Advanced Concepts,,,,,,,4.7,"-4,327",16 total hours,166 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
12,The Modern GraphQL Bootcamp (with Node.js and Apollo),,,,,,,4.7,"-2,747",23.5 total hours,118 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
13,Learn Nodejs by building 12 projects,,,,,,,4.3,"-1,749",12.5 total hours,72 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
14,NestJS Zero to Hero - Modern TypeScript Back-end Development,,,,,,,4.7,"-1,669",8.5 total hours,130 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
15,All about NodeJS,,,,,,,4.2,"-1,416",16 total hours,136 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
16,Node.js for Beginners - Become a Node.js Developer + Project,,,,,,,4.8,"-1,412",12 total hours,76 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
17,Docker for Node.js Projects From a Docker Captain,,,,,,,4.5,-778,23 total hours,201 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
18,"Node, SQL, & PostgreSQL - Mastering Backend Web Development",,,,,,,4.4,-604,5 total hours,46 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
19,MERN Stack React Node Ecommerce from Scratch to Deployment,,,,,,,4.6,-580,16.5 total hours,162 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
20,MERN Stack - React Node from Scratch Building Social Network,,,,,,,4.5,-509,21.5 total hours,234 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
21,Modern web development course: beginner to advanced,,,,,,,4.3,-491,5 total hours,48 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
22,Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,,,,,,,4.3,-450,8.5 total hours,70 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
23,Node.js Unit Testing In-Depth,,,,,,,4.2,-445,2.5 total hours,45 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
24,The Complete NodeJS Course: Build a Full Business Rating App,,,,,,,4.2,-424,12.5 total hours,61 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
25,Complete Modern Amazon clone: Angular 5 and Node.js,,,,,,,4.3,-375,6 total hours,107 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
26,Learn Web Scraping with NodeJs in 2020 - The Crash Course,,,,,,,4.6,-309,7 total hours,50 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
27,The Serverless Framework with Node.js & AWS,,,,,,,4.6,-294,4 total hours,56 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
28,Understanding NPM - Node.js Package Manager,,,,,,,4.1,-273,2.5 total hours,40 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
29,The Definitive Node.Js Developer Course,,,,,,,4.1,-207,23.5 total hours,239 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
30,Node with SocketIO: Build A Full Web Chat App From Scratch,,,,,,,3.9,-201,27.5 total hours,250 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
31,Learn Web Scraping with Node.js,,,,,,,4.1,-188,1 total hour,10 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
32,Build Realtime Twitter and Fiverr with Node.js + Stripe,,,,,,,4.1,-170,9 total hours,87 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
33,Node.js Express Project - CMS and Shopping Cart with Paypal,,,,,,,4.2,-169,5.5 total hours,55 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
34,The Complete Vue JS Developer Course â€“ inc. Vue JS 2!,,,,,,,4.1,-157,44 total hours,279 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
35,Projects in Node.js - Learn by Example,,,,,,,4,-141,5 total hours,38 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
36,Nodejs Express - unit testing/integration tests with Jest,,,,,,,4.3,-140,3 total hours,62 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
37,Learn to Deploy your Angular NodeJS Application on Server,,,,,,,4.4,-136,1 total hour,12 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
38,Node Program: From 0 to Hero with Nodejs and MongoDB,,,,,,,3.7,-132,12 total hours,79 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
39,Node.js Microservices for beginners,,,,,,,4.1,-119,6.5 total hours,58 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
40,NodeJS 3 in 1: Basics of NodeJS & Express With Projects,,,,,,,3.3,-100,10 total hours,76 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
41,Build a Social Network using Node.js and MongoDB,,,,,,,4,-95,5.5 total hours,44 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
42,Learn NodeJS in Hours,,,,,,,3.8,-94,2.5 total hours,29 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
43,Learn Node.js by building Udemy: Stripe + MailChimp + Wistia,,,,,,,3.4,-93,5.5 total hours,34 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
44,Getting Started with NodeJS for Beginners,,,,,,,4.2,-91,1 total hour,12 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
45,Top Node and Javascript Bundle: Learn Node and JS,,,,,,,4.5,-86,8 total hours,100 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
46,Beast Android Development:Integrating A Node.Js Server,,,,,,,4.5,-84,12.5 total hours,60 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
47,Complete back end development with NodeJS with projects,,,,,,,4.4,-80,20 total hours,118 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
48,Develop Discord Bots in nodejs Complete course,,,,,,,4.1,-76,8.5 total hours,123 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
49,Node.js: The Essentials + API Frameworks Express KOA Sails,,,,,,,3.5,-75,1 total hour,36 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
50,Node.js Absolute Beginners Guide - Learn Node From Scratch,,,,,,,4.4,-74,2 total hours,22 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
51,NodeJS API Development with Express MongoDB and Mongoose,,,,,,,4.1,-73,3 total hours,32 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
52,"WordPress Development With NodeJS, Gulp, Composer & More",,,,,,,3.9,-71,4 total hours,30 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
53,Node Package Manager Course: Build and Publish NPM Modules,,,,,,,3.6,-69,6.5 total hours,39 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
54,"Node.js, Express, MongoDB Bootcamp 2020 - with Real Projects",,,,,,,4.4,-68,14.5 total hours,96 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
55,Learn Node.JS Selenium Webdriver,,,,,,,3.3,-64,35 total mins,12 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
56,NodeJS for beginners,,,,,,,3.7,-61,1 total hour,13 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
57,Learn Node.js From Scratch,,,,,,,2.7,-59,1 total hour,5 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
58,NodeJS - The Complete Web Developer Bootcamp 2020,,,,,,,4.5,-58,14.5 total hours,152 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
59,Master ExpressJS to Build Web Apps with NodeJS&JavaScript,,,,,,,4.7,-58,3.5 total hours,24 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
60,Supreme NodeJS Course - For Beginners,,,,,,,3.9,-58,3.5 total hours,76 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
61,Writing Clean Asynchronous Code In Node.js,,,,,,,2.5,-57,2 total hours,28 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
62,Introduction to Node.js Development,,,,,,,3.9,-57,1 total hour,16 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
63,NodeJS & MEAN Stack - for Beginners - In Easy way!,,,,,,,4.9,-54,10.5 total hours,66 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
64,Up and Running with NodeJs with Certification,,,,,,,3.8,-54,2 total hours,26 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
65,Node.js Security: Pentesting and Exploitation,,,,,,,3.2,-51,1 total hour,14 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
66,Node.js & Hapi.js: Building Enterprise Web Apps,,,,,,,4.2,-49,3.5 total hours,40 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
67,Introduction to Node.js for Beginners,,,,,,,4.1,-48,6 total hours,58 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
68,Node.js Interview Questions Preparation Course,,,,,,,3,-46,1.5 total hours,33 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
69,NodeJS in Action,,,,,,,3,-45,5 total hours,28 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
70,GraphQL: Learning GraphQL with Node.Js,,,,,,,3.6,-44,2 total hours,39 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
71,Advanced Node.js Development,,,,,,,3.8,-43,3 total hours,41 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
72,Node.js Design Patterns,,,,,,,4.1,-43,2.5 total hours,22 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
73,Master NodeJs : A Practical Approach To Node JS,,,,,,,4.2,-42,7 total hours,112 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
74,The Complete Guide to NodeJS,,,,,,,4.2,-41,5 total hours,38 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
75,Learn To Build A User Login System Using NodeJS,,,,,,,3.3,-39,1.5 total hours,11 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
76,Build and Secure Restful APIs with Nodejs and MongoDB,,,,,,,3.8,-37,2 total hours,44 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
77,NodeJs: Building REST APIS With HapiJs,,,,,,,3.8,-36,4 total hours,61 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
78,Learn NodeJS Authentication,,,,,,,3.9,-35,1 total hour,18 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
79,Learn Node.js API's Fast and Simple,,,,,,,3.9,-34,2 total hours,13 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
80,Typescript Async/Await in Node JS with testing,,,,,,,3.5,-34,3 total hours,21 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
81,RESTful Web API Design with NodeJS,,,,,,,3.1,-31,2 total hours,22 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
82,NestJs: Modern ways to build APIs with Typescript and NestJs,,,,,,,3.2,-31,11 total hours,90 lectures,"{webdev,nodejs,MERNStack,ContinuousIntegration,NestJS,Angular,Jenkins,Typescript,KoaFramework,GitLab,React,MEAN Stack,hapi.js,AngularJS,JavaScript,GraphQL,MongoDB,RESTful API,AdonisJs,WebStorm}"
